Titre,Entreprise,Lien,Description,Autres
Chargés de Clientèle Francophones - Treichville,MAJOREL,https://www.emploi.ci/offre-emploi-cote-ivoire/charges-clientele-francophones-treichville-1496031,"Nous sommes à la recherche des  Chargés de Clientèle Francophones. Missions  : Rattaché au Responsable du Groupe, le  Chargé de Clientèle est amené à répondre aux demandes d’informations, de renseignements ou de réclamations des clients. Énergique, il se doit toujours d'être souriant, aimable et dynamique. Le chargé de clientèle doit avoir le sens de l’écoute pour comprendre et résoudre les problèmes posés par ses interlocuteurs dans un délai raisonnable. Dès votre premier jour d’intégration au sein de l’entreprise, un accompagnement permanent vous sera octroyé. Une formation vous sera dispensée afin de vous apprendre les rudiments du métier et vous doter des compétences...
+plus","Niveau d´études requis : Bac; Niveau d'expérience : Etudiant, jeune diplômé & Débutant < 2 ans; Contrat proposé : Stage; Région de : Abidjan; Compétences clés : Accompagnement - Hôtellerie - Restauration - Tourisme - Vente"
Responsable Diagnostic Automobile - Abidjan,TOPWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-diagnostic-automobile-abidjan-1494851,"Nous sommes à la recherche d'un  Responsable Diagnostic Automobile. Missions : Sous la supervision du Responsable du SAV / Directeur du SAV, le Responsable Diagnostic Automobile est chargé de : Superviser et coordonner les activités de diagnostic des véhicules au sein de l'atelier Évaluer les problèmes techniques signalés par les clients et établir un diagnostic précis et fiable Encadrer et former l’équipe de techniciens sur les nouvelles technologies, équipements de diagnostic et méthodes de travail Établir les process de diagnostic ainsi que les comptes rendus sur chaque véhicule S’assurer que l’équipe reste à jour sur les procédures et les protocoles de diagnostic spécifiques aux...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans & Expérience > 10 ans; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Diagnostic Électronique - Électromécanique - Électronique - Maintenance - Process - Production - Qualité
Contrôleur de Gestion - Abidjan,SNTCI,https://www.emploi.ci/offre-emploi-cote-ivoire/controleur-gestion-abidjan-1493327,"Société leader dans le domaine de la distribution des produits pétroliers, dans le cadre d'une vacance de poste recherche un Contrôleur de Gestion pour son siège à Abidjan. Missions : Assurer la production et l’analyse des indicateurs de suivi de la performance financière et opérationnelle de la société et coordonner le suivi de la trésorerie. Concevoir et piloter les indicateurs de gestion ;  Suivre l'évolution des résultats financiers de l’entreprise ; Participer à l’élaboration du budget et au suivi budgétaire ;  Participer à la rédaction du rapport de gestion mensuel permettant d’analyser l’évolution des activités de la société selon les instructions communiquées...
+plus",Niveau d´études requis : Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : Audit - Comptabilité - Finance - Gestion - Suivi Budgétaire - Suivi de la Trésorerie - Trésorerie
Responsable Marketing Senior / Secteur : Fintech - Guinée,TOPWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-marketing-senior-secteur-fintech-guinee-1492490,"Nous sommes à la recherche d'un  Responsable Marketing Senior / Secteur : Fintech. Missions : Collaborer avec la haute direction pour définir et exécuter la stratégie de marketing et de croissance de la division Fintech. Effectuer des études de marché et des analyses approfondies pour identifier les tendances, les opportunités et les perspectives concurrentielles. Créer et gérer des campagnes de marketing intégrées qui communiquent efficacement la proposition de valeur unique de nos produits et services Fintech. Superviser le développement de supports marketing, y compris le contenu numérique, les présentations, les livres blancs et d'autres supports promotionnels. Diriger les efforts de...
+plus",Niveau d´études requis : Bac+5 et plus; Niveau d'expérience : Expérience > 10 ans; Contrat proposé : CDI; Région de : International; Compétences clés : Développement du Produit - Marketing - SEO - Supports Marketing
Technico-commercial - Abidjan,INSTAHR,https://www.emploi.ci/offre-emploi-cote-ivoire/technico-commercial-abidjan-1487204,"Insta HR est une entreprise canadienne innovatrice axée sur la gestion des ressources humaines, mettant en avant l'agilité comme pilier fondamental de ses services. Nous offrons des solutions personnalisées et flexibles pour répondre aux besoins évolutifs des entreprises modernes. Nous sommes à la recherche d'un(e) Technico-commercial . e motivé(e) pour rejoindre notre équipe. Dans ce rôle, vous aurez la responsabilité de soutenir l'équipe de vente dans les tâches administratives, notamment dans la préparation de soumissions et la communication avec nos fournisseurs. Missions : Création de soumissions : Effectuer des recherches et préparer des devis détaillés en fonction des besoins des clients, en...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI; Région de : Abidjan; Compétences clés : ASTM - AUTOCAD - BTP - Communication - Maintenance - Métallurgie - Production - Qualité
Technicien H/F,NEEMBA,https://www.emploi.ci/offre-emploi-cote-ivoire/technicien-hf-1096948,"Nous sommes à la recherche d'un  Technicien H/F. Vos principales missions  : Contrôler et mesurer à partir de plans ou de schémas (tension, intensité, isolement, température), nettoyer, resserrer et remplacer différents organes sur des machines ou groupes électrogènes Préparer les interventions à l'aide de dossiers de construction et de maintenance Procéder aux contrôles prévus dans le programme de maintenance, mesures, vérification du serrage des bornes de connexion… Effectuer les tâches d'entretien nécessaire ou les réparations Effectuer les tests réglementaires de remise en service.
+plus",Niveau d´études requis : Bac+2; Niveau d'expérience : Débutant < 2 ans; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : Automatisme - BTP - Construction - Électromécanique - Électrotechnique - Énergie - Gaz - Machines - Maintenance - Nucléaire - Production - Qualité
General Financial Manager - Accra Ghana,AFRICAWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/general-financial-manager-accra-ghana-1484638,"We are recruiting for our client specialized in production and processing of natural raw materials used in cosmetic and food industries, a  General Financiel Manager  in  Accra  (Ghana) responsible of supervising and improving all elements of the financial management, accounting, closing, and reconciliation processes.   Responsabilities : • Compile all information needed to build a regular and concise reporting framework that highlights key financial and operational performance metrics, including sales and profitability by customer and channel, trade spend performance, and other KPIs. • Work with the Finance Department team and the Internal Auditor to prepare a monthly financial reporting...
+plus",Niveau d´études requis : Bac+5 et plus; Niveau d'expérience : Expérience > 10 ans; Contrat proposé : CDI; Région de : International; Compétences clés : Leadership - Management
Business Developer - Abidjan,TOPWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/business-developer-abidjan-1484658,"Nous sommes à la recherche d'un  Business Developer. Missions : Identifier et prospecter de nouveaux clients (entreprises). Créer et entretenir des relations solides avec les clients existants et potentiels. Proposer et négocier des contrats de services en adéquation avec les besoins des clients.  Mettre en place des partenariats stratégiques pour renforcer la présence de la filiale. Identifier les opportunités de croissance sur de nouveaux secteurs et anticiper les tendances du marché de l’emploi. Travailler en étroite collaboration avec les consultants en recrutement et l'équipe Administrative et Paie pour aligner les offres sur les besoins du marché. Suivre les performances...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : CRM - Développement Commercial - Négociation - Négociation Commerciale - Prospection - Vente"
Ingénieur Développeur Logiciel JEE Langage C/C++ - Abidjan,PRIME CONSULTING,https://www.emploi.ci/offre-emploi-cote-ivoire/ingenieur-developpeur-logiciel-jee-langage-cc-abidjan-1483058,"Nous sommes à la recherche des  Ingénieurs Développeur Logiciel JEE Langage C/C++ Missions : Rattaché(e) au Directeur des projets et services, vos principales missions dans une petite équipe de six (06) personnes seront : Développer les produits informatiques et monétique en JEE ; Réaliser l’analyse technique et l’étude détaillée des projets ; Contribuer à la définition des spécifications générales ; Adapter et paramétrer les progiciels applicatifs ; Réaliser le prototypage des applications ; Pratiquer les tests usines (et chez le client final) pour la validation du produit ; Identifier et traiter les dysfonctionnements ; Réaliser et assembler les objets et composants...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : AJAX - APACHE - C++ - CSS - ECLIPSE - HIBERNATE - HTML - HTTP - JAVA - JSP - LINUX - MYSQL - ORACLE - SPRING - Technicité - TOMCAT - UNIX - XML"
Consultant Junior Inphb - Abidjan,AFRICAWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-junior-inphb-abidjan-1483393,"Missions principales  : En tant que  Consultant junior,  vous travaillerez en équipe avec les consultants de la structure, vous épaulerez aussi le développeur dans ses tâches. Vous travaillerez sous la supervision d'un Consultant Senior. Vos missions principales incluront : Analyse et diagnostic  : Collecte et analyse de données (interviews, études de marché, benchmarks). Identification des problèmes et des opportunités d'amélioration. Conception des logiciels en fonction des besoins des clients.   Recommandations  : Participation à l'élaboration de solutions adaptées aux besoins du client. Rédaction de rapports et de présentations avec des recommandations stratégiques...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans et plus; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : MS PROJECT"
Assistant(e) Administratif(ve) - Abidjan,NEEMBA,https://www.emploi.ci/offre-emploi-cote-ivoire/assistante-administratifve-abidjan-1482408,"Nous sommes à la recherche d'un(e)  Assistant(e) Administratif(ve). Missions : Gérer les bases de données des clients OGM : Alimenter un fichier clients OGM en Côte d’Ivoire et OFFSHORE (Europe/USA) Partager cette base de données avec le guichet OGM de JADELMAS Prospecter les clients, suivre la concurrence, mesurer le marché et établir le budget annuel (Sous supervision du Responsable régional OGM : Établir les rapports de visite et les plans d’action Assurer le tracking des navires (logiciel, géolocalisation) Suivre la concurrence, repérer les livraisons des pièces CAT par les concurrents Réclamer les CES à CAT sur les pièces vendues par les concurrents Mesurer le marché...
+plus","Niveau d´études requis : Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Etudiant, jeune diplômé & Débutant < 2 ans; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : Conseil - Formation - Hydraulique - Hydraulique Mécanique - Mécanique - Mécanique Électrique - Mécanique Hydraulique - Production - Productivité - Qualité - Réception"
Responsable Production / Secteur : Production Vins & Spiritueux - Conakry,TOPWORK,https://www.emploi.ci/offre-emploi-cote-ivoire/responsable-production-secteur-production-vins-spiritueux-conakry-1482679,"Nous sommes à la recherche d'un  Responsable Production dans le secteur Production Vins & Spiritueux. Missions : Veiller au maintien en bon état de marche des équipements industriels et à la réalisation de la production suivant les normes généralement admises ; Élaborer les spécifications techniques des équipements à acquérir ; Élaborer les cahiers des charges et le dossier de commande pour les équipements concernés ; Manager les équipes de production et de maintenance ; Assurer le bon déroulement de la production ; Contrôler le fonctionnement des machines de manières permanente ; Réaliser la maintenance préventive suivant les préconisations du fabriquant des équipements ou du planning de...
+plus",Niveau d´études requis : Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 5 ans et 10 ans & Expérience > 10 ans; Contrat proposé : CDI; Région de : International; Compétences clés : Gestion de la Production - Gestion de la Qualité - Machines - Maintenance - Maintenance Préventive - Production - Qualité
Commercial Matériels Lourds - Abidjan,NEEMBA,https://www.emploi.ci/offre-emploi-cote-ivoire/commercial-materiels-lourds-abidjan-1435058,"Nous sommes à la recherche d'un  Commercial Matériels Lourds. Missions : Faire la prospection et le démarchage clients, assurer le suivi des commandes. Organiser les visites de suivi clientèle, organiser les relances clients. Mettre à jour et assurer un mailing commercial pour le portefeuille des entreprises TP. Répondre aux appels d'offres et participer à l’élaboration des dossiers de soumission. Effectuer le suivi du portefeuille client et des commandes : assurer la traçabilité jusqu’à la livraison des matériels et au règlement conforme. Assurer la satisfaction des clients, l’interface entre les services et les clients dédiés, et la gestion du stock de matériel. Participer à la...
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Débutant < 2 ans et plus; Contrat proposé : CDD; Région de : Abidjan; Compétences clés : Communication - Mailing - Marketing - Négociation - Plan Marketing - Prospection - Vente"
Agent Commercial - Bouaké,VISION PLUS VOYAGES,https://www.emploi.ci/offre-emploi-cote-ivoire/agent-commercial-bouake-1484311,"Nous recherchons pour nos besoins de service des profils d' Agent Commercial  sur la ville de  Bouaké . Missions  : Développer le portefeuille client avec les objectifs en termes de volume d'activité et de revenu Être le point focal du client sur les différents produits et services de l'entreprise Construire des relations durables et mutuellement bénéfiques entre les clients et l'entreprise Élaborer et exécuter des plans d'actions commerciales pour les clients existants et les prospects en plus du suivi client Participer activement au projet d'amélioration continue de l'entreprise.
+plus","Niveau d´études requis : Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDD; Région de : Bouaké; Compétences clés : Actions Commerciales - Communication - Gestion Marketing - Marketing - Vente"
Conseiller en Assurances (H/F) - Treichville,YONIVERS,https://www.emploi.ci/offre-emploi-cote-ivoire/conseiller-assurances-hf-treichville-1479970,"Nous recherchons un(e) Commercial(e) en Assurance (H/F) de personnes passionné(e) par la vente et le contact humain, prêt(e) à rejoindre une petite équipe soudée et motivée. Vous évoluerez dans un cadre exceptionnel, au sein de bureaux modernes et accueillants qui reflètent l’esprit jeune et dynamique de notre entreprise. Notre clientèle est fidèle et apprécie notre approche personnalisée, mais nous souhaitons également continuer à développer notre réseau de manière proactive. Missions: Contribution à l’effort commercial : Vous jouerez un rôle clé dans le développement de notre portefeuille clients dans le domaine de l'assurance de personnes (santé, prévoyance, épargne, etc.), en conseillant et en...
+plus","Niveau d´études requis : Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus; Niveau d'expérience : Expérience entre 2 ans et 5 ans et plus; Contrat proposé : CDI & CDD; Région de : Abidjan; Compétences clés : Actions Commerciales - Développement Commercial - Vente"
